provincia_nombre,anio,superficie_sembrada_ha,superficie_cosechada_ha,produccion_tm,rendimiento_kgxha,precipitacion_total,temperatura_media,humedad_relativa
Buenos Aires,1981,462300,460900,924500,2005.8581037101324,805.88,15.35,71.83
Buenos Aires,1982,650000,648100,950000,1465.8231754358894,844.86,15.28,71.62
Buenos Aires,1983,715000,713000,1670000,2342.215988779804,908.29,14.75,73.22
Buenos Aires,1984,830000,825000,1600000,1939.3939393939395,924.56,14.33,75.99
Buenos Aires,1985,851500,849350,1988000,2340.613410254901,809.75,15.42,70.21
Buenos Aires,1986,844000,819000,1726400,2107.936507936508,756.73,15.17,70.12
Buenos Aires,1987,987000,984200,2150000,2184.515342410079,993.36,14.78,75.7
Buenos Aires,1988,1130000,1109150,2100000,1893.3417481855474,972.55,14.56,70.72
Buenos Aires,1989,1260000,1245000,2800000,2248.995983935743,1057.51,15.53,71.41
Buenos Aires,1990,1313000,1264400,2799000,2213.698196773173,1334.13,14.41,77.52
Buenos Aires,1991,1213300,1177510,2533100,2151.2343844213638,1062.7,14.85,75.75
Buenos Aires,1992,1399950,1270420,2341100,1842.7764046535792,1280.41,14.27,77.42
Buenos Aires,1993,1382530,1365330,2429300,1779.276804875012,1312.68,14.25,78.07
Buenos Aires,1994,1376400,1363980,2608200,1912.1981260722298,1047.12,14.87,74.21
Buenos Aires,1995,1308055,1279415,2377800,1858.5056451581386,597.15,14.84,66.04
Buenos Aires,1996,1471900,1390830,2531800,1820.351876217798,903.38,15.11,70.45
Buenos Aires,1997,1604000,1560890,3859680,2472.743114505186,1035.21,15.19,73.68
Buenos Aires,1998,1732300,1699930,4579260,2693.7932738406876,856.61,14.99,72.45
Buenos Aires,1999,1808450,1744160,3777100,2165.5696725071093,947.95,14.58,72.97
Buenos Aires,2000,2413010,2304368,5725568,2484.6587003464724,1070.3,14.21,75.09
Buenos Aires,2001,2188090,2151310,5776800,2685.2475933268565,1292.18,14.84,78.09
Buenos Aires,2002,2475653,2450723,7142260,2914.348133183554,1339.79,14.38,77.47
Buenos Aires,2003,3205523,3133613,7852000,2505.7337967387803,1024.79,14.53,73.38
Buenos Aires,2004,3326048,3251098,10004030,3077.1234825895745,867.76,15.13,72.22
Buenos Aires,2005,3709800,3665000,10526712,2872.2270122783084,768.22,14.86,69.27
Buenos Aires,2006,4057028,4009918,11653275,2906.113042710599,922.86,15.05,69.73
Buenos Aires,2007,4217200,4147880,12245801,2952.303586410407,780.13,14.19,71.57
Buenos Aires,2008,5393538,5059042,6733393,1330.9620675218746,698.14,15.43,68.55
Buenos Aires,2009,5317020,5284478,16003570,3028.410753152913,784.31,15.33,65.36
Buenos Aires,2010,5935442,5843343,15465224,2646.6397745263284,834.7,14.76,72.03
Buenos Aires,2011,5969357,5795495,15396122,2656.5672129818076,862.05,14.76,69.51
Buenos Aires,2012,6645655,6537850,17601828,2692.2960912226495,1389.46,14.68,75.57
Buenos Aires,2013,6691029,6428159,17143374,2666.9181642831177,696.23,14.94,68.77
Buenos Aires,2014,6584272,6495062,19592375,3016.5031527027763,1170.94,14.81,75.43
Buenos Aires,2015,6823729,6735119,21951941,3259.3248909187796,925.17,15.12,71.85
Buenos Aires,2016,5980061,5621678,17383411,3092.2103685056313,839.25,14.78,73.14
Buenos Aires,2017,5548460,5239391,11844661,2260.694229539273,1255.5,15.15,76.48
Buenos Aires,2018,5542393,5459730,17667049,3235.88327627923,967.11,15.22,72.22
Buenos Aires,2019,5172483,5116458,15160896,2963.162406492929,749.46,15.03,69.45
Buenos Aires,2020,5286348,5228595,13532893,2588.2465557190794,883.9,14.89,70.56
Buenos Aires,2021,5036304,4949131,13537109,2735.2496832272172,999.25,15.18,73.28
Buenos Aires,2022,4997610,4407182,8490928,1926.6116080524926,891.64,14.72,68.74
Buenos Aires,2023,5180208,5148790,14899458,2893.7785382585034,1037.13,15.41,69.21
Catamarca,1981,2000,2000,2600,1300.0,330.11,14.84,49.8
Catamarca,1982,1100,1100,1500,1363.6363636363637,329.81,15.3,45.51
Catamarca,1983,1100,1100,1500,1363.6363636363637,443.18,14.53,47.56
Catamarca,1984,1000,1000,1800,1800.0,502.87,14.68,51.37
Catamarca,1985,890,890,1590,1786.5168539325844,509.47,15.12,48.04
Catamarca,1986,8000,5000,5000,1000.0,457.43,15.54,46.67
Catamarca,1987,7900,7900,12400,1569.620253164557,620.46,14.53,49.05
Catamarca,1988,6000,4000,4000,1000.0,487.22,14.5,46.87
Catamarca,1989,11000,10000,20000,2000.0,765.41,14.52,47.97
Catamarca,1990,15000,14000,33600,2400.0,435.73,14.72,48.54
Catamarca,1991,16000,15700,36700,2337.579617834395,293.94,15.32,46.06
Catamarca,1992,7000,7000,14000,2000.0,415.41,14.16,48.15
Catamarca,1993,10000,10000,24000,2400.0,316.88,14.76,45.24
Catamarca,1994,14000,14000,29400,2100.0,239.43,15.62,45.34
Catamarca,1995,12000,12000,15600,1300.0,90.34,15.35,39.5
Catamarca,1996,15000,15000,34500,2300.0,167.73,14.76,44.15
Catamarca,1997,14000,14000,42000,3000.0,310.8,15.57,44.54
Catamarca,1998,18000,18000,52200,2900.0,508.39,14.23,50.86
Catamarca,1999,14000,12600,35300,2801.5873015873017,669.02,13.64,53.68
Catamarca,2000,23000,23000,64400,2800.0,634.5,13.81,53.85
Catamarca,2001,35000,35000,98000,2800.0,649.48,14.34,53.69
Catamarca,2002,40000,40000,112000,2800.0,643.29,14.64,48.87
Catamarca,2003,37000,37000,107300,2900.0,325.46,15.28,45.8
Catamarca,2004,40394,40394,90270,2234.7378323513394,422.29,14.82,47.82
Catamarca,2005,46000,46000,126280,2745.217391304348,408.17,14.49,47.14
Catamarca,2006,46000,46000,128800,2800.0,487.63,15.49,46.84
Catamarca,2007,50000,50000,150000,3000.0,610.92,14.06,49.64
Catamarca,2008,50000,50000,115000,2300.0,716.88,13.68,53.15
Catamarca,2009,53000,53000,132500,2500.0,426.76,14.76,45.7
Catamarca,2010,53000,53000,116600,2200.0,513.29,13.91,47.73
Catamarca,2011,37000,37000,70300,1900.0,561.39,13.84,51.48
Catamarca,2012,24300,21900,24075,1099.3150684931506,395.28,15.14,48.67
Catamarca,2013,15100,13530,25370,1875.0923872875092,502.7,14.52,47.25
Catamarca,2014,26200,25930,58874,2270.4974932510604,645.63,14.79,49.96
Catamarca,2015,56142,56092,161667,2882.1757113313843,714.92,14.91,52.07
Catamarca,2016,29900,28160,73227,2600.390625,717.57,14.28,55.43
Catamarca,2017,39600,38070,89016,2338.2190701339637,720.36,14.73,51.41
Catamarca,2018,42100,41600,135800,3264.423076923077,591.71,14.71,50.5
Catamarca,2019,40400,39580,92615,2339.944416371905,624.74,14.72,52.64
Catamarca,2020,39800,39530,106251,2687.857323551733,571.01,15.4,48.52
Catamarca,2021,38300,37120,84640,2280.1724137931033,860.77,14.45,53.8
Catamarca,2022,42500,41350,63948,1546.5054413542925,523.75,14.23,46.53
Catamarca,2023,44000,43825,134185,3061.8368511123786,695.52,16.26,48.48
Chaco,1981,750,650,900,1384.6153846153845,1363.88,21.22,74.83
Chaco,1982,2050,1900,2000,1052.6315789473683,1169.71,22.06,68.37
Chaco,1983,3400,3400,3800,1117.6470588235295,1268.41,20.72,72.62
Chaco,1984,5200,5200,8870,1705.7692307692307,1823.73,20.83,77.46
Chaco,1985,8780,8780,10800,1230.0683371298405,1492.67,21.85,70.89
Chaco,1986,11000,11000,17000,1545.4545454545455,1810.18,21.85,74.31
Chaco,1987,14000,14000,25000,1785.7142857142858,1343.71,21.12,69.83
Chaco,1988,60000,60000,105000,1750.0,1126.78,21.05,64.99
Chaco,1989,68000,68000,110000,1617.6470588235295,1536.2,21.2,71.59
Chaco,1990,50000,50000,76700,1534.0,1522.22,20.89,76.2
Chaco,1991,70000,70000,133100,1901.4285714285713,1298.96,21.66,70.56
Chaco,1992,128000,128000,230500,1800.78125,1436.94,20.66,74.13
Chaco,1993,149000,144000,201600,1400.0,1008.13,21.44,66.3
Chaco,1994,137000,132000,170300,1290.1515151515152,1330.24,21.67,70.0
Chaco,1995,70500,70500,103600,1469.5035460992908,830.6,22.26,59.01
Chaco,1996,123000,123000,246000,2000.0,1488.07,20.73,71.75
Chaco,1997,130000,85800,159600,1860.13986013986,935.94,23.14,60.33
Chaco,1998,215000,195000,430000,2205.128205128205,1449.52,20.83,74.44
Chaco,1999,350000,350000,629200,1797.7142857142858,950.94,21.37,63.71
Chaco,2000,410000,406400,830800,2044.291338582677,1238.76,20.99,68.75
Chaco,2001,587300,548300,1154978,2106.4709100857194,962.52,22.11,67.99
Chaco,2002,751400,729100,1572570,2156.864627623097,1737.07,21.03,75.68
Chaco,2003,758500,723425,824595,1139.8486366935065,1124.93,21.92,64.96
Chaco,2004,653183,627936,862198,1373.066681954849,1223.1,21.58,65.34
Chaco,2005,616918,554567,1348380,2431.410451757858,864.52,21.97,63.92
Chaco,2006,679050,671722,1254960,1868.2728867001526,927.52,22.72,62.33
Chaco,2007,711250,711250,1647879,2316.8773286467485,1255.83,20.84,69.39
Chaco,2008,692527,593339,645397,1087.7373643060712,801.93,22.2,58.88
Chaco,2009,665720,639840,1546513,2417.0308202050514,924.37,22.25,60.1
Chaco,2010,693920,691852,1642321,2373.8039349456244,1111.14,20.45,70.98
Chaco,2011,683760,383087,292035,762.3203084416856,1024.29,21.31,66.39
Chaco,2012,548230,423580,553794,1307.4130034468105,887.11,22.8,61.49
Chaco,2013,591300,576330,1384537,2402.3337324102513,1002.64,21.35,66.17
Chaco,2014,596980,572635,1191340,2080.4526443546065,1203.29,22.08,69.77
Chaco,2015,551940,532757,1020146,1914.8429771922283,1296.93,21.87,73.01
Chaco,2016,501068,457348,1414659,3093.1784986487314,1344.29,20.48,75.05
Chaco,2017,514340,496315,1064920,2145.6534660447496,1068.19,22.17,70.59
Chaco,2018,466994,399760,1038828,2598.6291775065038,1078.83,22.11,68.05
Chaco,2019,542973,504874,1404299,2781.484093060843,1491.48,21.04,75.69
Chaco,2020,603020,562438,1088975,1936.1689644014095,861.89,22.3,59.1
Chaco,2021,646350,614710,1649432,2683.2685331294433,944.38,21.76,63.68
Chaco,2022,603124,561722,1057294,1882.237120853376,816.03,21.96,59.7
Chaco,2023,637470,543970,663645,1220.0029413386767,947.94,23.53,63.61
Corrientes,1981,28600,28500,48200,1691.2280701754387,1173.49,21.12,75.35
Corrientes,1982,20000,20000,37700,1885.0,2081.8,20.86,77.35
Corrientes,1983,26500,26500,45000,1698.1132075471698,1979.94,19.89,80.59
Corrientes,1984,20000,20000,29400,1470.0,1921.37,20.62,80.15
Corrientes,1985,25000,25000,27000,1080.0,1902.51,21.33,76.05
Corrientes,1986,7300,6900,14000,2028.9855072463768,2464.2,21.25,78.7
Corrientes,1987,9000,9000,18000,2000.0,2105.14,19.97,79.98
Corrientes,1988,10000,10000,20000,2000.0,1348.61,20.24,71.69
Corrientes,1989,15000,12000,24000,2000.0,1676.86,20.62,74.63
Corrientes,1990,7000,7000,9800,1400.0,2015.15,20.39,80.81
Corrientes,1992,2300,2100,3700,1761.904761904762,1649.03,20.01,79.16
Corrientes,1993,2040,2040,3800,1862.7450980392157,1919.16,20.11,79.84
Corrientes,1994,2240,2240,4112,1835.7142857142858,1773.8,20.92,78.49
Corrientes,1995,2300,1800,3300,1833.3333333333333,1214.59,21.14,71.61
Corrientes,1996,3400,3000,5600,1866.6666666666667,1678.07,20.58,77.13
Corrientes,1997,4200,2900,5050,1741.3793103448277,1928.88,21.34,75.59
Corrientes,1998,4400,4120,8600,2087.378640776699,2273.8,20.12,82.09
Corrientes,1999,3600,3600,7900,2194.4444444444443,1632.33,20.59,74.1
Corrientes,2000,3570,3015,5840,1936.9817578772802,1869.13,20.3,77.26
Corrientes,2001,5298,3765,4800,1274.9003984063745,1734.13,20.82,81.51
Corrientes,2002,9760,9235,18620,2016.242555495398,2697.85,20.77,80.32
Corrientes,2003,20055,16465,21314,1294.5034922563013,1948.27,20.05,80.09
Corrientes,2004,24468,19374,32107,1657.2210178589862,1084.53,20.8,72.65
Corrientes,2005,25135,18595,34210,1839.7418660930357,1432.93,21.03,74.62
Corrientes,2006,22000,19000,33600,1768.421052631579,1667.57,21.1,73.96
Corrientes,2007,30410,27071,45806,1692.0690037309298,2224.42,19.8,81.23
Corrientes,2008,30090,23455,24090,1027.073118738009,1479.96,20.3,75.04
Corrientes,2009,20668,19895,34845,1751.4450867052024,1751.05,20.68,74.08
Corrientes,2010,16795,16615,29068,1749.5034607282576,1522.15,19.81,79.91
Corrientes,2011,25000,25000,25000,1000.0,1217.26,20.65,74.05
Corrientes,2012,15000,15000,18000,1200.0,1079.48,22.0,67.91
Corrientes,2013,25000,25000,50000,2000.0,1189.92,20.42,74.17
Corrientes,2014,20000,20000,40000,2000.0,1719.18,21.07,78.06
Corrientes,2015,23000,23000,41400,1800.0,1568.0,20.99,80.15
Corrientes,2016,20000,20000,40000,2000.0,1629.21,20.11,80.57
Corrientes,2017,20000,20000,40000,2000.0,2373.02,20.85,81.02
Corrientes,2018,5190,5190,13712,2642.003853564547,1403.3,20.99,75.99
Corrientes,2019,5190,5190,13074,2519.0751445086707,1723.0,20.79,79.57
Corrientes,2020,5190,5190,13074,2519.0751445086707,1100.29,21.03,69.66
Corrientes,2021,5190,5190,7436,1432.7552986512524,925.09,21.2,69.53
Corrientes,2022,6000,6000,8501,1416.8333333333333,1161.84,20.91,70.54
Corrientes,2023,6000,6000,15900,2650.0,1412.25,22.21,72.54
Córdoba,1981,501600,480000,978500,2038.5416666666667,936.53,17.2,71.81
Córdoba,1982,623000,618500,1330000,2150.363783346807,871.2,17.35,68.27
Córdoba,1983,865000,862500,2113500,2450.4347826086955,895.43,16.57,71.09
Córdoba,1984,1000000,990000,1800000,1818.1818181818182,1120.81,16.15,76.04
Córdoba,1985,962000,948100,1730000,1824.7020356502478,880.08,17.3,70.2
Córdoba,1986,1105000,1061000,1850000,1743.6380772855796,855.31,17.43,70.03
Córdoba,1987,1320000,1296400,2950000,2275.532243134835,924.7,17.01,70.57
Córdoba,1988,1395000,1156000,1720000,1487.8892733564014,790.56,16.61,65.94
Córdoba,1989,1410000,1340000,2650000,1977.6119402985075,728.36,18.0,62.6
Córdoba,1990,1250000,1185300,2642300,2229.224668860204,1042.49,16.89,71.62
Córdoba,1991,1326200,1317800,2969100,2253.073303991501,1081.09,16.72,74.01
Córdoba,1992,1380800,1357700,3183600,2344.84790454445,931.79,16.34,70.31
Córdoba,1993,1564200,1552800,3032900,1953.1813498196807,1158.0,16.05,73.55
Córdoba,1994,1596500,1563100,2658700,1700.9148486980998,941.76,16.81,70.53
Córdoba,1995,1711500,1686800,3479400,2062.722314441546,806.55,16.45,64.45
Córdoba,1996,1901300,1818700,2906200,1597.954582943861,870.71,16.77,66.18
Córdoba,1997,2096800,2070300,5820700,2811.5248997729796,1035.29,17.69,64.91
Córdoba,1998,2564600,2459950,5263300,2139.596333258806,1238.72,15.88,76.59
Córdoba,1999,2726681,2705081,6928610,2561.331804851685,1096.1,15.97,72.43
Córdoba,2000,3151500,3088960,8154199,2639.7878250284884,963.6,16.12,72.9
Córdoba,2001,3455901,3447371,9658300,2801.6421789241713,1068.32,16.9,73.85
Córdoba,2002,3564351,3543401,9851101,2780.125929862299,783.76,16.89,69.42
Córdoba,2003,4172940,4128670,8376201,2028.7891742377085,670.31,17.17,65.49
Córdoba,2004,3981146,3925910,11190869,2850.515931338212,1090.0,16.87,69.62
Córdoba,2005,4343718,4273718,11123165,2602.6904442455025,745.69,16.54,67.35
Córdoba,2006,4477882,4447482,14173030,3186.7537631405817,952.0,17.35,64.32
Córdoba,2007,4704680,4665980,12763880,2735.519655034955,852.37,15.78,71.82
Córdoba,2008,5195291,5127001,11168757,2178.4191187011666,766.2,17.42,63.56
Córdoba,2009,5129240,5034290,13011805,2584.635569265974,908.1,17.63,59.33
Córdoba,2010,5047612,5033512,12230176,2429.750043309721,800.75,16.26,69.19
Córdoba,2011,5013251,4856851,9783900,2014.453397890938,719.51,16.9,63.85
Córdoba,2012,5349312,5256042,13180784,2507.739473923534,1178.04,16.96,70.38
Córdoba,2013,5052760,4965360,14917671,3004.3483251969647,733.47,16.85,65.71
Córdoba,2014,5413330,5284530,18619067,3523.315602333604,1033.42,17.06,70.89
Córdoba,2015,5579530,5299930,17922969,3381.736928600944,1067.4,16.9,74.14
Córdoba,2016,4871202,4772498,15659788,3281.2560633865114,1139.21,16.24,75.92
