provincia;anio;precipitacion_total;temperatura_media;humedad_relativa
Buenos Aires;1981;805.88;15.35;71.83
Buenos Aires;1982;844.86;15.28;71.62
Buenos Aires;1983;908.29;14.75;73.22
Buenos Aires;1984;924.56;14.33;75.99
Buenos Aires;1985;809.75;15.42;70.21
Buenos Aires;1986;756.73;15.17;70.12
Buenos Aires;1987;993.36;14.78;75.7
Buenos Aires;1988;972.55;14.56;70.72
Buenos Aires;1989;1057.51;15.53;71.41
Buenos Aires;1990;1334.13;14.41;77.52
Buenos Aires;1991;1062.7;14.85;75.75
Buenos Aires;1992;1280.41;14.27;77.42
Buenos Aires;1993;1312.68;14.25;78.07
Buenos Aires;1994;1047.12;14.87;74.21
Buenos Aires;1995;597.15;14.84;66.04
Buenos Aires;1996;903.38;15.11;70.45
Buenos Aires;1997;1035.21;15.19;73.68
Buenos Aires;1998;856.61;14.99;72.45
Buenos Aires;1999;947.95;14.58;72.97
Buenos Aires;2000;1070.3;14.21;75.09
Buenos Aires;2001;1292.18;14.84;78.09
Buenos Aires;2002;1339.79;14.38;77.47
Buenos Aires;2003;1024.79;14.53;73.38
Buenos Aires;2004;867.76;15.13;72.22
Buenos Aires;2005;768.22;14.86;69.27
Buenos Aires;2006;922.86;15.05;69.73
Buenos Aires;2007;780.13;14.19;71.57
Buenos Aires;2008;698.14;15.43;68.55
Buenos Aires;2009;784.31;15.33;65.36
Buenos Aires;2010;834.7;14.76;72.03
Buenos Aires;2011;862.05;14.76;69.51
Buenos Aires;2012;1389.46;14.68;75.57
Buenos Aires;2013;696.23;14.94;68.77
Buenos Aires;2014;1170.94;14.81;75.43
Buenos Aires;2015;925.17;15.12;71.85
Buenos Aires;2016;839.25;14.78;73.14
Buenos Aires;2017;1255.5;15.15;76.48
Buenos Aires;2018;967.11;15.22;72.22
Buenos Aires;2019;749.46;15.03;69.45
Buenos Aires;2020;883.9;14.89;70.56
Buenos Aires;2021;999.25;15.18;73.28
Buenos Aires;2022;891.64;14.72;68.74
Buenos Aires;2023;1037.13;15.41;69.21
Catamarca;1981;330.11;14.84;49.8
Catamarca;1982;329.81;15.3;45.51
Catamarca;1983;443.18;14.53;47.56
Catamarca;1984;502.87;14.68;51.37
Catamarca;1985;509.47;15.12;48.04
Catamarca;1986;457.43;15.54;46.67
Catamarca;1987;620.46;14.53;49.05
Catamarca;1988;487.22;14.5;46.87
Catamarca;1989;765.41;14.52;47.97
Catamarca;1990;435.73;14.72;48.54
Catamarca;1991;293.94;15.32;46.06
Catamarca;1992;415.41;14.16;48.15
Catamarca;1993;316.88;14.76;45.24
Catamarca;1994;239.43;15.62;45.34
Catamarca;1995;90.34;15.35;39.5
Catamarca;1996;167.73;14.76;44.15
Catamarca;1997;310.8;15.57;44.54
Catamarca;1998;508.39;14.23;50.86
Catamarca;1999;669.02;13.64;53.68
Catamarca;2000;634.5;13.81;53.85
Catamarca;2001;649.48;14.34;53.69
Catamarca;2002;643.29;14.64;48.87
Catamarca;2003;325.46;15.28;45.8
Catamarca;2004;422.29;14.82;47.82
Catamarca;2005;408.17;14.49;47.14
Catamarca;2006;487.63;15.49;46.84
Catamarca;2007;610.92;14.06;49.64
Catamarca;2008;716.88;13.68;53.15
Catamarca;2009;426.76;14.76;45.70
Catamarca;2010;513.29;13.91;47.73
Catamarca;2011;561.39;13.84;51.48
Catamarca;2012;395.28;15.14;48.67
Catamarca;2013;502.70;14.52;47.25
Catamarca;2014;645.63;14.79;49.96
Catamarca;2015;714.92;14.91;52.07
Catamarca;2016;717.57;14.28;55.43
Catamarca;2017;720.36;14.73;51.41
Catamarca;2018;591.71;14.71;50.5
Catamarca;2019;624.74;14.72;52.64
Catamarca;2020;571.01;15.4;48.52
Catamarca;2021;860.77;14.45;53.8
Catamarca;2022;523.75;14.23;46.53
Catamarca;2023;695.52;16.26;48.48
Chaco;1981;1363.88;21.22;74.83
Chaco;1982;1169.71;22.06;68.37
Chaco;1983;1268.41;20.72;72.62
Chaco;1984;1823.73;20.83;77.46
Chaco;1985;1492.67;21.85;70.89
Chaco;1986;1810.18;21.85;74.31
Chaco;1987;1343.71;21.12;69.83
Chaco;1988;1126.78;21.05;64.99
Chaco;1989;1536.2;21.2;71.59
Chaco;1990;1522.22;20.89;76.2
Chaco;1991;1298.96;21.66;70.56
Chaco;1992;1436.94;20.66;74.13
Chaco;1993;1008.13;21.44;66.3
Chaco;1994;1330.24;21.67;70.0
Chaco;1995;830.6;22.26;59.01
Chaco;1996;1488.07;20.73;71.75
Chaco;1997;935.94;23.14;60.33
Chaco;1998;1449.52;20.83;74.44
Chaco;1999;950.94;21.37;63.71
Chaco;2000;1238.76;20.99;68.75
Chaco;2001;962.52;22.11;67.99
Chaco;2002;1737.07;21.03;75.68
Chaco;2003;1124.93;21.92;64.96
Chaco;2004;1223.1;21.58;65.34
Chaco;2005;864.52;21.97;63.92
Chaco;2006;927.52;22.72;62.33
Chaco;2007;1255.83;20.84;69.39
Chaco;2008;801.93;22.2;58.88
Chaco;2009;924.37;22.25;60.1
Chaco;2010;1111.14;20.45;70.98
Chaco;2011;1024.29;21.31;66.39
Chaco;2012;887.11;22.8;61.49
Chaco;2013;1002.64;21.35;66.17
Chaco;2014;1203.29;22.08;69.77
Chaco;2015;1296.93;21.87;73.01
Chaco;2016;1344.29;20.48;75.05
Chaco;2017;1068.19;22.17;70.59
Chaco;2018;1078.83;22.11;68.05
Chaco;2019;1491.48;21.04;75.69
Chaco;2020;861.89;22.3;59.1
Chaco;2021;944.38;21.76;63.68
Chaco;2022;816.03;21.96;59.7
Chaco;2023;947.94;23.53;63.61
Corrientes;1981;1173.49;21.12;75.35
Corrientes;1982;2081.8;20.86;77.35
Corrientes;1983;1979.94;19.89;80.59
